name,official_name,alpha3Code,capital
Afghanistan,Islamic Republic of Afghanistan,AFG,Kabul
Sudan,Republic of the Sudan,SDN,Khartoum
Burundi,Republic of Burundi,BDI,Gitega
Mexico,United Mexican States,MEX,Mexico City
Cuba,Republic of Cuba,CUB,Havana
Serbia,Republic of Serbia,SRB,Belgrade
Monaco,Principality of Monaco,MCO,Monaco
Bhutan,Kingdom of Bhutan,BTN,Thimphu
Guyana,Co-operative Republic of Guyana,GUY,Georgetown
South Georgia,South Georgia and the South Sandwich Islands,SGS,King Edward Point
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Sarajevo
Brunei,"Nation of Brunei, Abode of Peace",BRN,Bandar Seri Begawan
Pakistan,Islamic Republic of Pakistan,PAK,Islamabad
Kenya,Republic of Kenya,KEN,Nairobi
Puerto Rico,Commonwealth of Puerto Rico,PRI,San Juan
Somalia,Federal Republic of Somalia,SOM,Mogadishu
Svalbard and Jan Mayen,Svalbard og Jan Mayen,SJM,Longyearbyen
Sierra Leone,Republic of Sierra Leone,SLE,Freetown
French Polynesia,French Polynesia,PYF,Papeetē
Azerbaijan,Republic of Azerbaijan,AZE,Baku
Cook Islands,Cook Islands,COK,Avarua
Peru,Republic of Peru,PER,Lima
Bouvet Island,Bouvet Island,BVT,N/A
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MNP,Saipan
Angola,Republic of Angola,AGO,Luanda
Republic of the Congo,Republic of the Congo,COG,Brazzaville
South Sudan,Republic of South Sudan,SSD,Juba
Saint Martin,Saint Martin,MAF,Marigot
Turkey,Republic of Turkey,TUR,Ankara
Anguilla,Anguilla,AIA,The Valley
Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,KNA,Basseterre
Aruba,Aruba,ABW,Oranjestad
Turks and Caicos Islands,Turks and Caicos Islands,TCA,Cockburn Town
Taiwan,Republic of China (Taiwan),TWN,Taipei
Sweden,Kingdom of Sweden,SWE,Stockholm
Liberia,Republic of Liberia,LBR,Monrovia
Venezuela,Bolivarian Republic of Venezuela,VEN,Caracas
United States Virgin Islands,Virgin Islands of the United States,VIR,Charlotte Amalie
Bermuda,Bermuda,BMU,Hamilton
Albania,Republic of Albania,ALB,Tirana
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,HKG,City of Victoria
Luxembourg,Grand Duchy of Luxembourg,LUX,Luxembourg
Eritrea,State of Eritrea,ERI,Asmara
Colombia,Republic of Colombia,COL,Bogotá
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",BES,Kralendijk
Mongolia,Mongolia,MNG,Ulan Bator
Yemen,Republic of Yemen,YEM,Sana'a
Lebanon,Lebanese Republic,LBN,Beirut
Antigua and Barbuda,Antigua and Barbuda,ATG,Saint John's
Vietnam,Socialist Republic of Vietnam,VNM,Hanoi
Palau,Republic of Palau,PLW,Ngerulmud
Jersey,Bailiwick of Jersey,JEY,Saint Helier
Trinidad and Tobago,Republic of Trinidad and Tobago,TTO,Port of Spain
Israel,State of Israel,ISR,Jerusalem
Bulgaria,Republic of Bulgaria,BGR,Sofia
Portugal,Portuguese Republic,PRT,Lisbon
Gibraltar,Gibraltar,GIB,Gibraltar
San Marino,Republic of San Marino,SMR,City of San Marino
Singapore,Republic of Singapore,SGP,Singapore
Sint Maarten,Sint Maarten,SXM,Philipsburg
Saudi Arabia,Kingdom of Saudi Arabia,SAU,Riyadh
Ghana,Republic of Ghana,GHA,Accra
Moldova,Republic of Moldova,MDA,Chișinău
Chad,Republic of Chad,TCD,N'Djamena
Antarctica,Antarctica,ATA,N/A
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,London
Papua New Guinea,Independent State of Papua New Guinea,PNG,Port Moresby
French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,ATF,Port-aux-Français
United States Minor Outlying Islands,United States Minor Outlying Islands,UMI,N/A
Belize,Belize,BLZ,Belmopan
Comoros,Union of the Comoros,COM,Moroni
Burkina Faso,Burkina Faso,BFA,Ouagadougou
Faroe Islands,Faroe Islands,FRO,Tórshavn
Guinea,Republic of Guinea,GIN,Conakry
India,Republic of India,IND,New Delhi
Curaçao,Country of Curaçao,CUW,Willemstad
Togo,Togolese Republic,TGO,Lomé
Tunisia,Tunisian Republic,TUN,Tunis
Saint Barthélemy,Collectivity of Saint Barthélemy,BLM,Gustavia
Indonesia,Republic of Indonesia,IDN,Jakarta
Micronesia,Federated States of Micronesia,FSM,Palikir
Austria,Republic of Austria,AUT,Vienna
Tajikistan,Republic of Tajikistan,TJK,Dushanbe
DR Congo,Democratic Republic of the Congo,COD,Kinshasa
Mayotte,Department of Mayotte,MYT,Mamoudzou
Réunion,Réunion Island,REU,Saint-Denis
Romania,Romania,ROU,Bucharest
Qatar,State of Qatar,QAT,Doha
Lithuania,Republic of Lithuania,LTU,Vilnius
China,People's Republic of China,CHN,Beijing
New Zealand,New Zealand,NZL,Wellington
Norfolk Island,Territory of Norfolk Island,NFK,Kingston
Mauritania,Islamic Republic of Mauritania,MRT,Nouakchott
Uzbekistan,Republic of Uzbekistan,UZB,Tashkent
Finland,Republic of Finland,FIN,Helsinki
Cameroon,Republic of Cameroon,CMR,Yaoundé
Heard Island and McDonald Islands,Heard Island and McDonald Islands,HMD,N/A
Dominica,Commonwealth of Dominica,DMA,Roseau
Iceland,Iceland,ISL,Reykjavik
Oman,Sultanate of Oman,OMN,Muscat
North Macedonia,Republic of North Macedonia,MKD,Skopje
Liechtenstein,Principality of Liechtenstein,LIE,Vaduz
Spain,Kingdom of Spain,ESP,Madrid
Greece,Hellenic Republic,GRC,Athens
Paraguay,Republic of Paraguay,PRY,Asunción
Bahrain,Kingdom of Bahrain,BHR,Manama
Niue,Niue,NIU,Alofi
Senegal,Republic of Senegal,SEN,Dakar
Montserrat,Montserrat,MSR,Plymouth
Latvia,Republic of Latvia,LVA,Riga
Tokelau,Tokelau,TKL,Fakaofo
Japan,Japan,JPN,Tokyo
Central African Republic,Central African Republic,CAF,Bangui
Gabon,Gabonese Republic,GAB,Libreville
Iraq,Republic of Iraq,IRQ,Baghdad
Isle of Man,Isle of Man,IMN,Douglas
Myanmar,Republic of the Union of Myanmar,MMR,Naypyidaw
Montenegro,Montenegro,MNE,Podgorica
Nauru,Republic of Nauru,NRU,Yaren
Vanuatu,Republic of Vanuatu,VUT,Port Vila
France,French Republic,FRA,Paris
Zimbabwe,Republic of Zimbabwe,ZWE,Harare
Philippines,Republic of the Philippines,PHL,Manila
Slovakia,Slovak Republic,SVK,Bratislava
Australia,Commonwealth of Australia,AUS,Canberra
Ivory Coast,Republic of Côte d'Ivoire,CIV,Yamoussoukro
British Indian Ocean Territory,British Indian Ocean Territory,IOT,Diego Garcia
Eswatini,Kingdom of Eswatini,SWZ,Mbabane
Rwanda,Republic of Rwanda,RWA,Kigali
Benin,Republic of Benin,BEN,Porto-Novo
British Virgin Islands,Virgin Islands,VGB,Road Town
Uganda,Republic of Uganda,UGA,Kampala
Ireland,Republic of Ireland,IRL,Dublin
Iran,Islamic Republic of Iran,IRN,Tehran
Slovenia,Republic of Slovenia,SVN,Ljubljana
Mali,Republic of Mali,MLI,Bamako
Switzerland,Swiss Confederation,CHE,Bern
American Samoa,American Samoa,ASM,Pago Pago
Uruguay,Oriental Republic of Uruguay,URY,Montevideo
Guam,Guam,GUM,Hagåtña
Suriname,Republic of Suriname,SUR,Paramaribo
Ukraine,Ukraine,UKR,Kyiv
Czechia,Czech Republic,CZE,Prague
Honduras,Republic of Honduras,HND,Tegucigalpa
Samoa,Independent State of Samoa,WSM,Apia
Laos,Lao People's Democratic Republic,LAO,Vientiane
Cape Verde,Republic of Cabo Verde,CPV,Praia
Ethiopia,Federal Democratic Republic of Ethiopia,ETH,Addis Ababa
Bangladesh,People's Republic of Bangladesh,BGD,Dhaka
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SHN,Jamestown
Belarus,Republic of Belarus,BLR,Minsk
Croatia,Republic of Croatia,HRV,Zagreb
Kuwait,State of Kuwait,KWT,Kuwait City
French Guiana,Guiana,GUF,Cayenne
Morocco,Kingdom of Morocco,MAR,Rabat
Russia,Russian Federation,RUS,Moscow
Estonia,Republic of Estonia,EST,Tallinn
Sri Lanka,Democratic Socialist Republic of Sri Lanka,LKA,Sri Jayawardenepura Kotte
New Caledonia,New Caledonia,NCL,Nouméa
Poland,Republic of Poland,POL,Warsaw
Madagascar,Republic of Madagascar,MDG,Antananarivo
Costa Rica,Republic of Costa Rica,CRI,San José
El Salvador,Republic of El Salvador,SLV,San Salvador
Macau,Macao Special Administrative Region of the People's Republic of China,MAC,N/A
Andorra,Principality of Andorra,AND,Andorra la Vella
Italy,Italian Republic,ITA,Rome
Namibia,Republic of Namibia,NAM,Windhoek
Seychelles,Republic of Seychelles,SYC,Victoria
Panama,Republic of Panama,PAN,Panama City
Haiti,Republic of Haiti,HTI,Port-au-Prince
Argentina,Argentine Republic,ARG,Buenos Aires
Niger,Republic of Niger,NER,Niamey
Malawi,Republic of Malawi,MWI,Lilongwe
Pitcairn Islands,Pitcairn Group of Islands,PCN,Adamstown
Germany,Federal Republic of Germany,DEU,Berlin
Kiribati,Independent and Sovereign Republic of Kiribati,KIR,South Tarawa
Syria,Syrian Arab Republic,SYR,Damascus
Marshall Islands,Republic of the Marshall Islands,MHL,Majuro
Hungary,Hungary,HUN,Budapest
Cayman Islands,Cayman Islands,CYM,George Town
Denmark,Kingdom of Denmark,DNK,Copenhagen
Saint Lucia,Saint Lucia,LCA,Castries
Bolivia,Plurinational State of Bolivia,BOL,Sucre
Djibouti,Republic of Djibouti,DJI,Djibouti
South Africa,Republic of South Africa,ZAF,Pretoria
Nigeria,Federal Republic of Nigeria,NGA,Abuja
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,STP,São Tomé
Nicaragua,Republic of Nicaragua,NIC,Managua
Guadeloupe,Guadeloupe,GLP,Basse-Terre
Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM,Saint-Pierre
Ecuador,Republic of Ecuador,ECU,Quito
Greenland,Greenland,GRL,Nuuk
Grenada,Grenada,GRD,St. George's
Bahamas,Commonwealth of the Bahamas,BHS,Nassau
Chile,Republic of Chile,CHL,Santiago
Malaysia,Malaysia,MYS,Kuala Lumpur
Tuvalu,Tuvalu,TUV,Funafuti
Christmas Island,Territory of Christmas Island,CXR,Flying Fish Cove
Solomon Islands,Solomon Islands,SLB,Honiara
Tanzania,United Republic of Tanzania,TZA,Dodoma
North Korea,Democratic People's Republic of Korea,PRK,Pyongyang
Guinea-Bissau,Republic of Guinea-Bissau,GNB,Bissau
Kosovo,Republic of Kosovo,UNK,Pristina
Vatican City,Vatican City State,VAT,Vatican City
Norway,Kingdom of Norway,NOR,Oslo
Palestine,State of Palestine,PSE,Ramallah
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,CCK,West Island
Jamaica,Jamaica,JAM,Kingston
Egypt,Arab Republic of Egypt,EGY,Cairo
Cambodia,Kingdom of Cambodia,KHM,Phnom Penh
Mauritius,Republic of Mauritius,MUS,Port Louis
Gambia,Republic of the Gambia,GMB,Banjul
Equatorial Guinea,Republic of Equatorial Guinea,GNQ,Malabo
Lesotho,Kingdom of Lesotho,LSO,Maseru
Martinique,Martinique,MTQ,Fort-de-France
United States,United States of America,USA,"Washington, D.C."
Western Sahara,Sahrawi Arab Democratic Republic,ESH,El Aaiún
United Arab Emirates,United Arab Emirates,ARE,Abu Dhabi
Mozambique,Republic of Mozambique,MOZ,Maputo
Algeria,People's Democratic Republic of Algeria,DZA,Algiers
Zambia,Republic of Zambia,ZMB,Lusaka
Guatemala,Republic of Guatemala,GTM,Guatemala City
South Korea,Republic of Korea,KOR,Seoul
Kyrgyzstan,Kyrgyz Republic,KGZ,Bishkek
Timor-Leste,Democratic Republic of Timor-Leste,TLS,Dili
Åland Islands,Åland Islands,ALA,Mariehamn
Jordan,Hashemite Kingdom of Jordan,JOR,Amman
Malta,Republic of Malta,MLT,Valletta
Cyprus,Republic of Cyprus,CYP,Nicosia
Falkland Islands,Falkland Islands,FLK,Stanley
Kazakhstan,Republic of Kazakhstan,KAZ,Nur-Sultan
Botswana,Republic of Botswana,BWA,Gaborone
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,Kingstown
Barbados,Barbados,BRB,Bridgetown
Tonga,Kingdom of Tonga,TON,Nuku'alofa
Thailand,Kingdom of Thailand,THA,Bangkok
Belgium,Kingdom of Belgium,BEL,Brussels
Canada,Canada,CAN,Ottawa
Georgia,Georgia,GEO,Tbilisi
Wallis and Futuna,Territory of the Wallis and Futuna Islands,WLF,Mata-Utu
Fiji,Republic of Fiji,FJI,Suva
Netherlands,Kingdom of the Netherlands,NLD,Amsterdam
Armenia,Republic of Armenia,ARM,Yerevan
Dominican Republic,Dominican Republic,DOM,Santo Domingo
Guernsey,Bailiwick of Guernsey,GGY,St. Peter Port
Turkmenistan,Turkmenistan,TKM,Ashgabat
Nepal,Federal Democratic Republic of Nepal,NPL,Kathmandu
Maldives,Republic of the Maldives,MDV,Malé
Libya,State of Libya,LBY,Tripoli
Brazil,Federative Republic of Brazil,BRA,Brasília
